Sl. No., Size, Duration, Bitrate, Width, Height, FPS,Total Time x1,Downscale Time x2,Upload Time x2,Upscale Time x2,Total Time x2,Speed Up x2,Downscale Time x4,Upload Time x4,Upscale Time x4,Total Time x4,Speed Up x4,QM x1,QM x2,QM x4,SSIM x1,SSIM x2,SSIM x4,PSNR x1,PSNR x2,PSNR x4
39,67.6, 1mn 7s, 8370Kbps,1280,720,30,242.805,7.904,67.78,66.074,141.758,1.712813386,7.321,28.737,66.893,102.951,2.358452079,69.126,65.232,64.715,100,91.205,80.07,100,33.231,30.693
40,28.6, 2mn 45s, 1454Kbps,1280,720,24,83.963,2.9,26.164,30.586,59.65,1.4075943,3.4,12.025,25.72,41.145,2.040661077,65.473,61.242,62.19,100,90.652,81.228,100,33.053,30.767
41,23.6, 2mn 16s, 1455Kbps,1280,720,24,77.864,2.485,21.746,24.826,49.057,1.587214872,2.804,11.568,22.723,37.095,2.099042998,68.068,63.615,62.328,100,90.01,81.36,100,33.926,30.189
42,4.9, 24s 698ms, 1666Kbps,1280,720,24,17.085,0.512,5.181,4.572,10.265,1.66439357,0.652,2.346,3.997,6.995,2.442458899,66.046,62.625,62.05,100,90.84,81.135,100,33.659,30.688
43,14.6, 1mn 19s, 1541Kbps,1280,720,24,42.899,1.322,15.504,13.224,30.05,1.427587354,1.543,6.239,11.053,18.835,2.277621449,65.943,62.545,61.482,100,90.879,81.27,100,33.331,30.736
44,12.8, 1mn 13s, 1470Kbps,1280,720,24,37.017,1.391,13.507,11.217,26.115,1.417461229,1.448,4.919,12.363,18.73,1.976348105,65.29,61.544,61.505,100,91.215,81.163,100,33.103,30.295
45,12.7, 1mn 11s, 1495Kbps,1280,720,24,43.645,1.293,12.616,13.922,27.831,1.568215299,1.6,5.117,11.18,17.897,2.438676873,66.912,63.48,63.343,100,91.195,80.704,100,33.842,30.179
46,6.72, 31s 957ms, 1765Kbps,1280,720,24,24.16,0.701,6.413,7.365,14.479,1.668623524,0.868,3.243,6.709,10.82,2.232902033,65.442,62.69,60.839,100,91.463,80.93,100,33.094,30.67
47,4.34, 25s 658ms, 1418Kbps,1280,720,24,14.58,0.39,4.572,4.456,9.418,1.548099384,0.528,2.013,3.589,6.13,2.378466558,66.151,62.985,62.782,100,90.306,81.048,100,33.204,30.782
48,24, 1mn 57s, 1710Kbps,1280,720,24,78.139,2.958,23.337,21.736,48.031,1.626845162,3.097,10.21,19.156,32.463,2.40701722,65.135,61.942,60.538,100,90.948,80.413,100,32.947,30.184
49,7.64, 44s 181ms, 1451Kbps,1280,720,24,25.208,0.776,8.211,8.365,17.352,1.4527432,0.867,3.621,6.534,11.022,2.287062239,67.198,64.063,61.868,100,91.169,80.293,100,33.393,30.304
50,18.2, 1mn 33s, 1621Kbps,1280,720,24,61.627,2.046,17.335,16.371,35.752,1.723735735,2.091,8.915,14.65,25.656,2.402050203,66.76,62.173,61.156,100,90.347,80.487,100,33.063,30.818
51,50.9, 4mn 59s, 1423Kbps,1280,720,24,159.124,6.073,50.931,44.765,101.769,1.563580265,5.235,21.328,41.135,67.698,2.350497799,68.896,65.336,63.932,100,90.207,80.419,100,33.075,29.745
